Gene,LogFC
ANKDD1A,1.0553395
PLEKHM3,1.178657
USP47,1.1698112
CTNNAL1,1.3667704
PTPN14,1.3641242
PCM1,2.0240029
FAM125B,1.221455
SH3D19,1.232234
TPSG1,-1.8343226
PDS5B,1.0681897
PLCE1,1.576256
TRIOBP,1.2546153
DNM1P46,1.3054411
EMP2,2.5005812
S100A4,1.4657011
C12orf49,1.1664754
SGCE,1.7308794
LOC100132741,1.7263509
TNXB,2.3258397
TCAP,1.2080743
ZEB1,1.34857
NLRC4,1.4744324
UQCRB,1.3091369
ARID5A,-1.1118804
TNNI2,1.1587324
ERP44,1.2322851
ACR,-1.6949032
SNED1,-1.3451864
AHNAK,1.63005
EXOC3L1,-1.0810924
APBB1,-1.5931614
LOC285178,1.5114594
APCDD1,1.3211606
GABARAPL1,1.2924513
FAM189A2,2.3319005
LOC283553,1.9736252
GJD3,1.874883
BNIP2,1.1309051
PITPNM2,2.1918582
SMAD6,1.164623
CD52,1.264471
CADM1,1.2531431
HECW2,1.5912672
TOX2,1.4190861
CDKN1C,1.15196
CLCN4,1.1590177
PRKCE,1.6514054
LAYN,1.4512538
TTC28,1.0882738
PCDH11Y,1.4390567
CNTLN,1.3474104
PRKAR2B,1.0347063
CNTNAP3,2.0600655
KBTBD10,1.7717204
FLYWCH1,1.1487696
PHACTR2,1.5126794
DOCK4,1.7359107
LILRB3,1.267166
AGTPBP1,1.1512509
BTNL8,2.5432273
GNAZ,1.4745154
TSPAN12,1.4861192
GPER,1.7213411
TMEM237,1.4386655
MPDZ,1.5787511
PGAP1,1.3186219
ASPRV1,1.120216
CRIP1,1.3335105
PPFIBP1,1.4118002
SCD5,2.1848965
LBH,1.2801161
MOB3B,1.3462712
TSHZ3,1.4519718
HES2,-1.4166784
TINAGL1,-2.0565934
LOC285965,1.6618971
TMEM132C,2.1083917
TGM2,1.3134595
GLIPR2,1.1870728
SERPING1,1.6831426
ETV1,1.8006785
MSR1,2.0890453
C4orf38,1.8580601
PRAM1,1.4498973
TTLL7,1.3032975
PEAK1,1.1803169
APBB2,1.8103387
EPB41L5,1.5625745
UNC13D,1.4765317
GNG11,2.6106252
ANKRD18B,2.383175
SYT15,1.0234061
LOC400950,1.0509064
ADAMTSL4,1.02389
PGM5,1.6232003
C15orf5,1.4011311
MYH10,1.7393841
TRPV2,1.1863039
NR5A2,2.0131829
LMO2,1.4423762
IL16,2.2132259
CA5B,-1.2549421
LOC100130938,1.2402528
