Gene,LogFC
MIR3180-4,7.38707851
MEX3B,5.047196092
ANKLE1,5.750395552
SCIMP,10.92708778
HAGHL,2.947028957
SENP8,8.465971832
TLCD2,4.939447895
DYNC1I1,7.683476214
C1orf133,6.389537036
ADAT3,5.316661405
SOX8,7.146436782
IGDCC3,6.698191476
ODF3B,5.091943512
LIME1,5.271179107
MIR3689D1,7.183876073
C1QTNF1,6.200338862
OXNAD1,5.234763826
LCN10,6.837497147
REM2,6.61501589
ABCA7,5.076556157
PMS2,4.179159872
WISP1,5.766664317
CNFN,7.19709333
LOC219731,4.242013649
F13B,6.24852019
TTTY21B,10.86282507
RNF223,3.371928864
MIR3689C,6.879799298
PDCD1LG2,8.474887115
FCER1A,9.597163066
HMX1,6.21948054
PDE6G,5.108807309
COL11A1,8.576384529
INTS4L1,7.490812148
FAM221B,5.471142219
LOC147670,6.531204337
CRELD1,3.477682118
MIR5196,7.98227418
LINC00207,9.703673117
TIGD1,7.705781718
SLC25A19,4.069741519
BEST4,7.226595936
BHLHE41,8.277193996
FBXO36,4.31544256
VWA2,6.809406235
MAS1,7.273644251
LOC389458,5.261221287
CRYGN,7.542730479
PION,5.736326174
CCDC36,8.216780073
SLAMF7,5.788998918
SUV420H1,5.694854381
MIR4646,5.734304878
INHBC,7.331909179
NAV3,5.170148747
CCBP2,10.47869272
ZFP28,5.304556628
MYLPF,4.290381093
LACE1,5.854558234
MT1G,4.965760892
ARHGEF10L,4.34308854
ACSM2A,7.593428566
PACRG,7.377921982
BCAT2,3.31469501
LOC100130581,11.42683803
KIAA2022,10.2654118
PKD1L1,9.782135189
SOS2,6.138768445
C2CD2L,6.40880115
GPRIN1,6.57465062
3-Sep,7.413553068
PCDHA12,5.880658366
KRT42P,9.617204748
STEAP1B,6.740434194
MIR632,6.814662559
CHRNB4,8.762764727
TRAPPC2,6.42682854
SMG1,4.739172435
CHKA,4.917344859
PRSS27,6.96356961
TTTY8,6.31202156
CCBL1,5.48503778
AMOT,7.262088378
PLA2G4C,6.281837008
CNRIP1,4.763582808
KPNA5,7.334565787
LOC100289341,4.652719174
GPR111,8.168311543
APOOL,3.876449569
SGSH,5.828718287
IBA57,5.742268904
ARHGAP32,5.21229676
ROBO4,5.438236741
TPRN,4.698786837
AKR7A3,5.196506305
OTOP3,8.462075295
MYEOV,6.506177111
SLC16A8,7.185129939
MIR4283-2,9.630979168
NLRP7,6.002856786
FAM157B,6.6476154
RBM46,8.174334246
ZNF679,8.315889737
C1orf159,3.271748293
KIR3DL1,6.554444353
CRAT,5.414225573
RBM44,5.468765994
DLGAP3,4.714266383
MIR1909,6.271720647
GLS2,5.079133664
C3orf18,4.096998123
ACTA1,4.277431864
MIXL1,4.784505659
LOC729020,4.801108998
CGB7,5.498281715
BIRC7,9.39358906
DACT2,6.02608728
MGC23270,4.986699735
ZC3H10,5.262954025
GTPBP5,5.384636158
MIR580,4.756139459
IKZF1,4.567835303
PRDM8,5.452210051
LOC648987,5.601474685
KCTD2,5.062473144
NBR1,5.678365036
SPDYE5,5.807928048
CTF1,4.282006369
MIR3621,6.330224573
CCL26,7.515127789
PAPOLG,3.595824814
MIR130A,7.783918382
TEK,11.69841786
C20orf94,5.175312713
PALM,5.867172714
BBS10,3.096159517
ENHO,7.631445127
HES7,4.379764823
LOC100506688,6.748747991
GLTSCR1,4.209066418
GRID1,7.210487955
IGF2,5.718608748
GPR6,6.307297875
GPR124,6.004206496
PLCH1,3.781249567
PPP1R14D,5.596834453
SLC4A9,7.815395845
JOSD2,2.004894181
FANCB,7.398090423
ZNF707,2.117318921
SLC2A7,5.052114239
MIR25,6.835143841
WDR5B,3.895054164
MIR600HG,3.583717713
NEUROD1,8.776616474
1-Dec,6.012384442
CCDC64B,5.908216524
SFTPD,4.746231215
C11orf2,4.212322959
RFTN2,7.259843525
RNF216-IT1,4.864094944
SCRT1,4.937583201
ITGB3,3.835271812
GCM1,6.835913524
PRICKLE4,5.274702727
MGC23284,3.539362443
TCTEX1D4,5.186103176
TMEM232,5.965295058
FAM106A,5.706678877
KHDC3L,7.755669223
HSD11B1,5.883129218
RPL21,4.887523375
CCDC126,8.583075089
MESP1,4.996963416
FLJ39639,6.168061774
SLC23A3,6.51819729
PLA2G6,3.619156293
DNM1P41,5.847963196
TRIM33,3.254478365
GAS2,5.368596469
HSPA2,3.607748749
FAM167B,5.748489464
CCDC63,8.006461235
ZNF623,2.501729486
SERPINB4,5.858965966
YBX2,6.137289488
FAM92B,6.053780755
ZNF546,6.207433016
C2orf84,6.98414437
KRT9,9.33315086
TMEM240,6.29682735
LOC100288637,4.434262042
CCDC146,4.384681595
ZNF799,4.177736325
MIR5090,3.261320774
RNF182,5.125874026
EPB42,5.001382499
ZNF709,4.730594787
UBTFL1,6.836887406
HSF4,4.249304433
GALR1,4.507570077
LINC00457,7.681298237
ELN,5.262307134
C5orf55,4.216196022
WDR78,2.921133143
OR2L3,6.708662237
TMPRSS2,6.604329269
ZNF443,4.123772324
DDX51,3.347572263
FIZ1,2.869534035
SNORA39,6.971992918
IL28RA,4.670377552
COX6B2,3.531840389
ZNF264,5.524499906
PRODH2,7.407286082
XK,6.699045585
GP9,8.319022264
P2RY12,6.720040034
LOC440297,4.807937992
BPHL,4.994111372
C5orf60,5.874534012
SCRT2,7.034146398
ESPN,4.275517767
LINC00029,6.558032276
RNF224,5.964469009
FAM3B,7.854192742
MC1R,3.976814654
SNORD88B,4.473165852
ZNF737,4.621461948
ZNF570,4.363651139
KRTAP5-9,5.444517976
WDR66,5.069058761
ABCD4,3.387645881
RBMY1J,7.531122853
LOC283038,5.825942541
FN1,5.622783073
FAM50B,5.531608552
GIPR,3.775365729
FICD,5.356208615
PCBD2,4.408071275
LRRC10,7.364947698
ANP32A-IT1,7.418719104
KCNAB2,3.69312871
MOB3B,7.900773121
SLC38A10,2.97595123
PBX4,4.5869859
DNASE1L2,3.730544311
NEIL1,5.736076366
ZNF564,3.504369786
SNORA53,6.386421188
LINC00518,9.267719746
TTPA,6.223455868
AP3B2,5.033094454
C17orf53,8.998521486
LAGE3,2.616459083
LCN12,6.307137619
CLEC2B,8.874401115
WFDC1,6.278479532
PPCDC,4.042303927
LOC220729,3.863686561
PPYR1,5.043745473
DSG1,5.302255761
FBXW4P1,3.962778975
WBP2NL,7.575994026
GUCA1B,4.253019217
ARFIP1,5.317878619
MIR4663,8.622563754
CCNB3,5.018540996
YJEFN3,5.217697197
SEC14L6,6.693606258
DLG3,3.537189007
CES3,3.192989784
C9orf172,5.823257064
LRP1,3.778563986
PPP2R3B-AS1,2.435537499
UBE2W,3.701608911
SNORA62,4.257870342
WDR35,3.602919776
LOC646762,3.433005741
MIR631,4.738162842
ZNF865,3.238295844
CX3CL1,6.607833091
SPRR3,4.334415723
MIR4708,5.916368934
SIGLEC1,5.885614562
ZNF367,3.491603789
RLN3,5.680147294
DHX8,6.457479027
MMP17,3.108585482
RAB40B,4.702615732
ATP12A,7.518696001
FAM75A1,6.675762847
CECR5-AS1,5.182622599
CELA3A,4.447623307
MIR184,7.294860941
LOC100506713,3.994244761
AQP1,5.665087318
C6orf170,5.392467426
GOLGA8IP,5.16240675
CAPN10,4.366482189
RXFP2,5.019707695
SNAR-A7,11.21269957
TULP2,6.004783997
CFL1P1,5.696599789
FCRLA,5.976772518
MIR4775,9.762555533
GMEB2,4.490081577
FAM66D,8.16328823
LOC100499484,6.533119481
HOXC13,11.62321573
CDC42BPA,4.78784254
CYP8B1,9.373884237
KIF25,5.28402329
ZNRF2,4.376815405
IZUMO4,4.547909495
RCVRN,11.12199627
HECW2,4.98770154
IL4I1,5.286821653
MIR3202-2,8.376284367
CTU2,3.35231917
MLL2,3.02039482
TAF1L,4.466121943
LOC643648,6.639721253
TWIST1,7.190195113
UBR5,3.153086815
KIAA1683,7.321565483
HACE1,6.694119598
